Model,AUC,Accuracy,F1,Balanced_Accuracy_default,Balanced_Accuracy_tuned,Threshold_mean
Logistic Regression,0.708 ± 0.116,0.631,0.607,0.638,0.737,0.502
Random Forest,0.664 ± 0.086,0.647,0.504,0.621,0.696,0.456
Gradient Boosting,0.610 ± 0.114,0.573,0.478,0.560,0.670,0.594
