Model,AUC,Accuracy,F1,Balanced_Accuracy_default,Balanced_Accuracy_tuned,Threshold_mean
Logistic Regression,0.721 +- 0.125,0.628,0.611,0.637,0.746,0.531
Random Forest,0.691 +- 0.088,0.621,0.495,0.601,0.720,0.407
Gradient Boosting,0.613 +- 0.116,0.599,0.512,0.587,0.669,0.540
