Model,AUC,Accuracy,F1,Balanced_Accuracy_default,Balanced_Accuracy_tuned,Threshold_mean
Logistic Regression,0.672 +- 0.117,0.609,0.591,0.616,0.701,0.483
Random Forest,0.615 +- 0.098,0.558,0.418,0.538,0.660,0.423
Gradient Boosting,0.612 +- 0.085,0.577,0.526,0.575,0.672,0.268
