Model,AUC,Accuracy,F1,Balanced_Accuracy_default,Balanced_Accuracy_tuned,Threshold_mean
Logistic Regression,0.706 +- 0.131,0.625,0.605,0.631,0.731,0.530
Random Forest,0.699 +- 0.136,0.667,0.565,0.651,0.719,0.533
Gradient Boosting,0.645 +- 0.111,0.599,0.529,0.592,0.693,0.463
