Model,AUC,Accuracy,F1,Balanced_Accuracy_default,Balanced_Accuracy_tuned,Threshold_mean
Logistic Regression,0.708 +- 0.122,0.628,0.604,0.634,0.739,0.529
Random Forest,0.705 +- 0.112,0.647,0.534,0.631,0.719,0.417
Gradient Boosting,0.629 +- 0.094,0.606,0.512,0.593,0.665,0.500
