Model,AUC,Accuracy,F1,Balanced_Accuracy_default,Balanced_Accuracy_tuned,Threshold_mean
Logistic Regression,0.707 +- 0.120,0.624,0.602,0.631,0.738,0.539
Random Forest,0.690 +- 0.104,0.644,0.512,0.622,0.718,0.437
Gradient Boosting,0.621 +- 0.112,0.579,0.492,0.569,0.678,0.431
